id,capaNo,productName,issueType,severity,rootCause,department,productionLine,lotNo,claimSource,assignee,dueDate,status,createdAt,completedAt
1,CAPA-2025-0001,토너 A,표시오류,하,설비,물류팀,D라인,LOT-20250707-133,고객사,정하늘,2025-07-23,done,2025-07-07,2025-07-14
2,CAPA-2025-0002,립스틱 A,포장불량,하,원자재,구매팀,C라인,LOT-20250707-479,자체검사,문서현,2025-07-19,done,2025-07-07,2025-07-12
3,CAPA-2025-0003,토너 A,공정이탈,중,협력사,물류팀,C라인,LOT-20250707-932,자체검사,최유리,2025-08-03,done,2025-07-07,2025-07-29
4,CAPA-2025-0004,핸드크림 A,원료불량,중,설비,품질보증팀,C라인,LOT-20250707-534,고객사,오도윤,2025-08-02,done,2025-07-07,2025-07-24
5,CAPA-2025-0005,앰플 B,원료불량,하,기타,품질보증팀,B라인,LOT-20250707-146,자체검사,오도윤,2025-08-04,done,2025-07-07,2025-08-02
6,CAPA-2025-0006,바디로션 A,기타,하,원자재,물류팀,C라인,LOT-20250709-392,자체검사,최유리,2025-07-24,done,2025-07-09,2025-07-21
7,CAPA-2025-0007,헤어에센스 A,표시오류,중,기타,생산2팀,D라인,LOT-20250710-613,고객사,이수민,2025-08-05,done,2025-07-10,2025-08-05
8,CAPA-2025-0008,아이섀도 B,표시오류,중,설비,구매팀,D라인,LOT-20250711-567,고객사,조현우,2025-08-09,done,2025-07-11,2025-07-31
9,CAPA-2025-0009,파운데이션 A,공정이탈,중,표준서미비,생산1팀,A라인,LOT-20250711-737,고객사,신예은,2025-07-30,done,2025-07-11,2025-07-22
10,CAPA-2025-0010,토너 B,포장불량,하,표준서미비,구매팀,A라인,LOT-20250711-865,자체검사,한소율,2025-07-23,done,2025-07-11,2025-08-02
11,CAPA-2025-0011,샴푸 A,원료불량,하,원자재,물류팀,D라인,LOT-20250712-756,자체검사,정하늘,2025-08-03,done,2025-07-12,2025-08-17
12,CAPA-2025-0012,미스트 B,기타,중,기타,물류팀,A라인,LOT-20250712-004,자체검사,오도윤,2025-07-23,done,2025-07-12,2025-07-15
13,CAPA-2025-0013,미스트 B,포장불량,상,표준서미비,생산1팀,D라인,LOT-20250712-914,고객사,박서준,2025-07-23,done,2025-07-12,2025-07-18
14,CAPA-2025-0014,헤어에센스 B,기타,중,기타,생산2팀,B라인,LOT-20250715-268,자체검사,조현우,2025-08-03,done,2025-07-15,2025-07-31
15,CAPA-2025-0015,샴푸 A,포장불량,중,설비,구매팀,A라인,LOT-20250715-597,자체검사,문서현,2025-07-27,done,2025-07-15,2025-08-07
16,CAPA-2025-0016,헤어에센스 B,포장불량,하,원자재,구매팀,A라인,LOT-20250716-796,자체검사,김지현,2025-08-12,done,2025-07-16,2025-08-07
17,CAPA-2025-0017,선스틱 B,공정이탈,중,설비,구매팀,B라인,LOT-20250716-641,내부감사,윤서아,2025-07-30,done,2025-07-16,2025-07-29
18,CAPA-2025-0018,아이크림 A,포장불량,하,협력사,물류팀,D라인,LOT-20250716-682,고객사,한소율,2025-08-06,done,2025-07-16,2025-08-04
19,CAPA-2025-0019,립스틱 A,원료불량,상,작업자실수,품질보증팀,D라인,LOT-20250717-089,고객사,문서현,2025-08-10,done,2025-07-17,2025-08-07
20,CAPA-2025-0020,토너 B,원료불량,중,기타,구매팀,C라인,LOT-20250719-835,고객사,최유리,2025-08-10,done,2025-07-19,2025-08-05
21,CAPA-2025-0021,아이섀도 A,기타,중,설비,품질보증팀,C라인,LOT-20250719-007,자체검사,문서현,2025-08-18,done,2025-07-19,2025-08-09
22,CAPA-2025-0022,미스트 B,표시오류,중,작업자실수,구매팀,D라인,LOT-20250721-155,내부감사,오도윤,2025-08-17,done,2025-07-21,2025-08-18
23,CAPA-2025-0023,아이섀도 A,고객불만,중,원자재,품질보증팀,C라인,LOT-20250721-419,정부기관,문서현,2025-08-09,done,2025-07-21,2025-08-07
24,CAPA-2025-0024,마스크팩 A,원료불량,중,원자재,물류팀,A라인,LOT-20250721-134,자체검사,박서준,2025-08-19,done,2025-07-21,2025-08-18
25,CAPA-2025-0025,클렌징폼 A,기타,상,설비,생산2팀,A라인,LOT-20250722-101,자체검사,배주안,2025-08-14,done,2025-07-22,2025-08-18
26,CAPA-2025-0026,선크림 A,기타,중,표준서미비,생산1팀,A라인,LOT-20250723-320,고객사,한소율,2025-08-18,done,2025-07-23,2025-08-24
27,CAPA-2025-0027,세럼 B,원료불량,중,기타,물류팀,D라인,LOT-20250724-477,고객사,문서현,2025-08-13,done,2025-07-24,2025-08-11
28,CAPA-2025-0028,선크림 B,공정이탈,중,표준서미비,구매팀,D라인,LOT-20250725-648,고객사,강민준,2025-08-04,done,2025-07-25,2025-08-01
